SKU;Nom;SKU parent;Min - Max;Type;Prix par défaut;Prix du supplément;Département;Menu/Écran;Nom du bouton;Couleur du bouton;Style du bouton;Code-barres;Prix de revient;Contenu (gestion des stocks);Unité du contenu (gestion des stocks);Poids;Tare (grammes, vente au poids);Partage;Nom du bon de commande;Plat;Groupe statistique;Instruction de production
2204;Sunny Wake Up;;;article;4.8;;Jus de fruits;CARTE TEST DETAILLEE/JUS/JUS DETAILLE,BUFFET/JUS/JUS DETAILLE;Sunny Wake Up;BLUE;Accentuer;;;;;;;GLOBAL;;;default/JUS;
2205;Super Fly;;;article;4.8;;Jus de fruits;CARTE TEST DETAILLEE/JUS/JUS DETAILLE,BUFFET/JUS/JUS DETAILLE;Super Fly;BLUE;Accentuer;;;;;;;GLOBAL;;;default/JUS;
2206;Tonic Plus;;;article;4.8;;Jus de fruits;CARTE TEST DETAILLEE/JUS/JUS DETAILLE,BUFFET/JUS/JUS DETAILLE;Tonic Plus;BLUE;Accentuer;;;;;;;GLOBAL;;;default/JUS;
2237;soupe courgette;;;article;4.6;;Soupes;carte londres détaillée local/SOUPES/DESCRIPTIF,CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE, carte londres détaillée Livraison/SOUPES/DESCRIPTIF, carte londres détaillée/SOUPES/DESCRIPTIF;Courgette;BLUE;Accentuer;;;;;;;GLOBAL;;;default/SOUPE;
2243;soupe carotte, lait de coco;;;article;4.6;;Soupes;carte londres détaillée local/SOUPES/DESCRIPTIF,CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE, carte londres détaillée Livraison/SOUPES/DESCRIPTIF, carte londres détaillée/SOUPES/DESCRIPTIF;Carotte, lait de coco;BLUE;Accentuer;;1.4000;;;;;GLOBAL;;;default/SOUPE;
2253;Riz noir&blanc, aubergines;;;article;7.5;;PLATS;CARTE TEST DETAILLEE/PLAT CHAUD,BUFFET/PLAT CHAUD;Riz noir&blanc, aubergines;BLUE;Accentuer;;;;;;;GLOBAL;;;default/PLAT CHAUD;
2260;Carotte, choux fleur;;;article;4.6;;PLATS;CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE;Carotte, choux fleur;BLUE;Accentuer;;;;;;;GLOBAL;;;default/SOUPE;
2266;Mais, Poivron;;;article;4.6;;PLATS;CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE;Mais, Poivron;BLUE;Accentuer;;;;;;;GLOBAL;;;default/SOUPE;
2292;Soupe Carotte , pomme, curry;;;article;4.6;;Soupes;carte londres détaillée local/SOUPES/DESCRIPTIF,CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE, carte londres détaillée Livraison/SOUPES/DESCRIPTIF, carte londres détaillée/SOUPES/DESCRIPTIF;Carotte , pomme, curry;BLUE;Accentuer;;;;;;;GLOBAL;;;default/SOUPE;
2293;Soupe champignon;;;article;4.6;;Soupes;carte londres détaillée local/SOUPES/DESCRIPTIF,CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE, carte londres détaillée Livraison/SOUPES/DESCRIPTIF, carte londres détaillée/SOUPES/DESCRIPTIF;Champignon;BLUE;Accentuer;;;;;;;GLOBAL;;;default/SOUPE;
